,job,money,skill,ink,area,jobDes,inkDes
231,iOS研发工程师- 抖音社交,25k-50k,移动端,字节跳动,[北京·海淀区],"“六险一金,股票期权,弹性工作,免费三餐”","内容资讯,短视频 / D轮及以上 / 2000人以上"
232,高级iOS研发工程师-抖音/直播,25k-50k,Swift,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
233,iOS研发工程师-商业化,25k-50k,后端开发,字节跳动,[上海·闵行区],"“下午茶,健身瑜伽,六险一金,扁平管理”","内容资讯,短视频 / D轮及以上 / 2000人以上"
234,Android研发工程师-商业化,25k-50k,后端开发,字节跳动,[上海·闵行区],"“下午茶,健身瑜伽,六险一金,扁平管理”","内容资讯,短视频 / D轮及以上 / 2000人以上"
235,iOS开发（高级）工程师-小说,25k-50k,后端开发,字节跳动,[广州·天河区],"“六险一金,五险一金,团队氛围好,餐补”","内容资讯,短视频 / D轮及以上 / 2000人以上"
236,Android开发（高级）工程师-小说,25k-50k,后端开发,字节跳动,[广州·天河区],"“六险一金,五险一金,团队氛围好,餐补”","内容资讯,短视频 / D轮及以上 / 2000人以上"
237,Android/iOS研发工程师-GIP,40k-80k,后端开发,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
238,Android 开发（高级）工程师,30k-60k,后端开发,字节跳动,[杭州·余杭区],"“下午茶,健身瑜伽,六险一金,股票期权”","内容资讯,短视频 / D轮及以上 / 2000人以上"
239,高级Android开发工程师-抖音用户增长,30k-60k,后端开发,字节跳动,[深圳·南山区],"“下午茶,健身瑜伽,六险一金,股票期权”","内容资讯,短视频 / D轮及以上 / 2000人以上"
240,Android研发工程师 — 抖音/抖音火山版/直播,25k-50k,移动端,字节跳动,[北京·海淀区],"“六险一金,股票期权,弹性工作,免费三餐”","内容资讯,短视频 / D轮及以上 / 2000人以上"
241,iOS研发工程师 — 抖音/抖音火山版/直播,25k-50k,移动端,字节跳动,[北京·海淀区],"“六险一金,团队氛围好,晋升空间大”","内容资讯,短视频 / D轮及以上 / 2000人以上"
242,Android开发高级工程师,30k-60k,移动端,字节跳动,[广州·天河区],"“六险一金,股票期权,弹性工作,免费三餐”","内容资讯,短视频 / D轮及以上 / 2000人以上"
243,Android开发（高级）工程师-小说,25k-50k,后端开发,字节跳动,[深圳·南山区],"“六险一金,团队氛围好,五险一金,餐补”","内容资讯,短视频 / D轮及以上 / 2000人以上"
244,iOS开发（高级）工程师-小说,25k-50k,后端开发,字节跳动,[深圳·南山区],"“六险一金,租房补贴,带薪休假,弹性工作”","内容资讯,短视频 / D轮及以上 / 2000人以上"
245,iOS（高级）研发工程师 - 抖音（成都）,30k-60k,移动端,字节跳动,[成都·武侯区],"“六险一金,弹性工作,免费三餐,租房补贴”","内容资讯,短视频 / D轮及以上 / 2000人以上"
